horizon,mindepth,maxdepth,texture,bd,gravel,sand ,silt,clay,c_org
 L,0.035,0.018,Org,,,,,,52.58
 Of,0.018,0.003,Org,,,,,,50.41
 Oh,0.003,0,Org,,,,,,41.22
I Ah,0,-0.01,Ut3,1,0.04,11.2,74.6,14.2,9.55
I Aeh,-0.01,-0.03,Ut3,1.1,0.04,11.2,74.6,14.2,6.62
I Aeh,-0.03,-0.05,Ut3,1.1,0.04,11.2,74.6,14.2,6.62
I Aeh,-0.05,-0.08,Ut3,1.1,0.04,11.2,74.6,14.2,6.62
I (Bv)Sw-Bv,-0.08,-0.12,Ut3,1.4,0.04,11.2,74.6,14.2,1.25
I (Bv)Sw-Bv,-0.12,-0.16,Ut3,1.4,0.04,11.2,74.6,14.2,1.25
I (Bv)Sw-Bv,-0.16,-0.22,Ut3,1.4,0.04,11.2,74.6,14.2,1.25
I (Bv)Sw-Bv,-0.22,-0.28,Ut3,1.4,0.04,11.2,74.6,14.2,1.25
I (Bv)Sw-Bv,-0.28,-0.36,Ut3,1.4,0.04,11.2,74.6,14.2,1.25
I (Bv)Sw-Bv,-0.36,-0.44,Ut3,1.4,0.04,11.2,74.6,14.2,1.25
I (Bv)Sw-Bv,-0.44,-0.52,Ut3,1.4,0.04,11.2,74.6,14.2,1.25
I (Bv)Sw-Bv,-0.52,-0.6,Ut3,1.4,0.04,11.2,74.6,14.2,1.25
I;II (Sd-Bv)Btv,-0.6,-0.7,Uls,1.55,0.18,30,57.5,12.5,0.28
I;II (Sd-Bv)Btv,-0.7,-0.85,Uls,1.55,0.18,30,57.5,12.5,0.28
II (Sd-Bv)Btv,-0.85,-0.95,Uls,1.79,0.38,30,57.5,12.5,0.69
II (Sd-Bv)Btv,-0.95,-1.05,Uls,1.79,0.38,30,57.5,12.5,0.69
II (Sd-Bv)Btv,-1.05,-1.2,Uls,1.79,0.38,30,57.5,12.5,0.69
II (Sd-Bv)Btv,-1.2,-1.4,Uls,1.79,0.38,30,57.5,12.5,0.69
II;III Cv,-1.4,-1.5,Lt2,1.55,0.65,30,40,30,0.51
III Cv,-1.5,-1.7,Ls3,1.55,0.9,44,35,21,0.51
III Cv,-1.7,-1.9,Ls3,1.55,0.9,44,35,21,0.51
III Cv,-1.9,-2.1,Ls3,1.55,0.9,44,35,21,0.51
