Texture.Hypres,topsoilHYP,ThS,ThR,alpha,nparm,mparm,Ksat.mmd,tort
C,1,0.403,0.025,0.0383,1.377,0.274,600,1.25
M,1,0.439,0.01,0.0314,1.18,0.153,120.61,-2.3421
MF,1,0.43,0.01,0.0083,1.254,0.203,22.72,-0.5884
F,1,0.52,0.01,0.0367,1.101,0.092,248,-1.9772
VF,1,0.614,0.01,0.0265,1.103,0.093,150,2.5
C,0,0.366,0.025,0.043,1.521,0.343,700,1.25
M,0,0.392,0.01,0.0249,1.169,0.145,107.55,-0.7437
MF,0,0.412,0.01,0.0082,1.218,0.179,40,0.5
F,0,0.481,0.01,0.0198,1.086,0.079,85,-3.7124
VF,0,0.538,0.01,0.0168,1.073,0.068,82.35,0.0001
Org,0,0.766,0.01,0.013,1.204,0.169,80,0.4
